"title","wikibase_item","Studio"
"Gone Girl","Q14920425","studio = {{Plain list "
"Charlotte's Web 2: Wilbur's Great Adventure","Q83161","studio = {{Plainlist"
"Madagascar (ffilm 2005)","Q174555","studio = {{Plainlist"
"Charlotte's Web (ffilm 1973)","Q37785","studio = {{Plainlist"
"The Sword in the Stone (ffilm)","Q204662","studio = Walt Disney Productions "
"Hon dansade en sommar","Q1536123","studio = [[Nordisk Tonefilm]] "
"Jumanji: Welcome to the Jungle","Q20762680","studio = {{Plainlist"
"Tangled","Q188439","studio = Walt Disney Pictures<ref name=afi>{{cite web"
"The Best Exotic Marigold Hotel","Q830295","studio = [[Participant Media]]<br/>[[Imagenation Abu Dhabi]]<br/>[[Fox Searchlight Pictures]] "
"Wreck-It Ralph","Q28891","studio = {{Plainlist"
"Surf's Up","Q633053","studio = Sony Pictures Animation "
"Incredibles 2","Q24832112","studio = {{Plainlist"
"Night Must Fall (ffilm 1937)","Q1545838","studio = [[Metro-Goldwyn-Mayer]] "
"Lady and the Tramp II: Scamp's Adventure","Q244434","studio = Walt Disney Animation Australia<br />Disney Television Animation "
"Finding Dory","Q9321426","studio = {{Plainlist"
"The Halfway House (ffilm)","Q7738656","studio = Ealing Studios "
"Surf's Up 2: WaveMania","Q26720598","studio = {{Plainlist"
"Aguirre, der Zorn Gottes","Q325662","studio = [[Werner Herzog Filmproduktion]]<br>[[Hessischer Rundfunk"
"Twinsters","Q21553080","studio = {{Plainlist"
